ID,Clone,Replicate,Treatment,Treatment_date,Female_neonates,Male_neonates,Total_neonates,Adult_popsize,Prop_Male,Prop_Female,Clutch_Number,Collection_date,Observer
D8222_R1,D8222,R1,MF,6,0,0,0,1,#DIV/0!,#DIV/0!,,10.21.2022,Caroline
D8222_R2,D8222,R2,MF,6,0,0,0,3,#DIV/0!,#DIV/0!,,10.21.2022,Caroline
D8222_R3,D8222,R3,MF,6,0,1,1,3,1,0,4,10.21.2022,Caroline
D8179_R1,D8179,R1,MF,6,0,0,0,0,#DIV/0!,#DIV/0!,,10.21.2022,Caroline
D8179_R2,D8179,R2,MF,6,1,0,1,1,0,1,3,10.21.2022,Caroline
D8179_R3,D8179,R3,MF,6,2,0,2,3,0,1,1,10.21.2022,Caroline
H1_R1,H1,R1,MF,6,1,1,2,4,0.5,0.5,2,10.21.2022,Caroline
H1_R2,H1,R2,MF,6,0,0,0,4,#DIV/0!,#DIV/0!,,10.21.2022,Caroline
H1_R3,H1,R3,MF,6,0,0,0,5,#DIV/0!,#DIV/0!,,10.21.2022,Caroline
H2_R1,H2,R1,MF,6,1,0,1,5,0,1,2,10.21.2022,Caroline
H2_R2,H2,R2,MF,6,1,1,2,4,0.5,0.5,1,10.21.2022,Caroline
H2_R3,H2,R3,MF,6,0,0,0,4,#DIV/0!,#DIV/0!,,10.21.2022,Caroline
D8179_R1,D8179,R1,C,6,15,0,15,4,0,1,3,10.21.2022,Caroline
D8179_R2,D8179,R2,C,6,18,0,18,4,0,1,3,10.21.2022,Caroline
D8179_R3,D8179,R3,C,6,9,0,9,5,0,1,2,10.21.2022,Caroline
D8222_R1,D8222,R1,C,6,3,0,3,3,0,1,4,10.21.2022,Caroline
D8222_R3,D8222,R3,C,6,0,0,0,4,#DIV/0!,#DIV/0!,,10.21.2022,Caroline
H1_R1,H1,R1,C,5,10,0,10,5,0,1,3,10.21.2022,Caroline
H1_R2,H1,R2,C,5,8,0,8,5,0,1,2,10.21.2022,Caroline
H1_R3,H1,R3,C,5,6,0,6,5,0,1,2,10.21.2022,Caroline
H2_R1,H2,R1,C,6,20,0,20,3,0,1,3,10.21.2022,Caroline
H2_R2,H2,R2,C,6,20,0,20,4,0,1,3,10.21.2022,Caroline
H2_R3,H2,R3,C,6,15,0,15,4,0,1,3,10.21.2022,Caroline
D8179_R1,D8179,R1,C,7,10,0,10,4,0,1,4,10.24.2022,Caroline
D8179_R2,D8179,R2,C,7,18,0,18,4,0,1,4,10.24.2022,Caroline
D8179_R3,D8179,R3,C,7,12,0,12,5,0,1,3,10.24.2022,Caroline
D8222_R1,D8222,R1,C,7,0,0,0,1,#DIV/0!,#DIV/0!,,10.24.2022,Caroline
D8222_R3,D8222,R3,C,7,4,0,4,3,0,1,3,10.24.2022,Caroline
H1_R1,H1,R1,C,6,0,0,0,4,#DIV/0!,#DIV/0!,,10.24.2022,Caroline
H1_R2,H1,R2,C,6,0,0,0,5,#DIV/0!,#DIV/0!,,10.24.2022,Caroline
H1_R3,H1,R3,C,6,5,0,5,5,0,1,3,10.24.2022,Caroline
H2_R1,H2,R1,C,7,6,0,6,3,0,1,4,10.24.2022,Caroline
H2_R2,H2,R2,C,7,29,0,29,4,0,1,4,10.24.2022,Caroline
H2_R3,H2,R3,C,7,0,0,0,4,#DIV/0!,#DIV/0!,,10.24.2022,Caroline
D8179_R2,D8179,R2,MF,7,0,0,0,0,#DIV/0!,#DIV/0!,,10.24.2022,Caroline
D8179_R3,D8179,R3,MF,7,0,2,2,4,1,0,2,10.24.2022,Caroline
D8222_R1,D8222,R1,MF,7,0,0,0,1,#DIV/0!,#DIV/0!,,10.24.2022,Caroline
D8222_R2,D8222,R2,MF,7,0,0,0,1,#DIV/0!,#DIV/0!,,10.24.2022,Caroline
D8222_R3,D8222,R3,MF,7,0,0,0,3,#DIV/0!,#DIV/0!,,10.24.2022,Caroline
H1_R1,H1,R1,MF,7,3,0,3,4,0,1,3,10.24.2022,Caroline
H1_R2,H1,R2,MF,7,0,0,0,4,#DIV/0!,#DIV/0!,,10.24.2022,Caroline
H1_R3,H1,R3,MF,7,0,0,0,4,#DIV/0!,#DIV/0!,,10.24.2022,Caroline
H2_R1,H2,R1,MF,7,0,0,0,5,#DIV/0!,#DIV/0!,,10.24.2022,Caroline
H2_R2,H2,R2,MF,7,0,0,0,4,#DIV/0!,#DIV/0!,,10.24.2022,Caroline
H2_R3,H2,R3,MF,7,0,0,0,4,#DIV/0!,#DIV/0!,,10.24.2022,Caroline
D8179_R3,D8179,R3,MF,8,3,0,3,4,0,1,3,10.26.2022,Caroline
D8222_R1,D8222,R1,MF,8,0,0,0,0,#DIV/0!,#DIV/0!,,10.26.2022,Caroline
D8222_R2,D8222,R2,MF,8,0,0,0,1,#DIV/0!,#DIV/0!,,10.26.2022,Caroline
D8222_R3,D8222,R3,MF,8,0,0,0,2,#DIV/0!,#DIV/0!,,10.26.2022,Caroline
H1_R1,H1,R1,MF,8,1,3,4,4,0.75,0.25,4,10.26.2022,Caroline
H1_R2,H1,R2,MF,8,1,3,4,4,0.75,0.25,2,10.26.2022,Caroline
H1_R3,H1,R3,MF,8,0,0,0,4,#DIV/0!,#DIV/0!,,10.26.2022,Caroline
H2_R1,H2,R1,MF,8,0,0,0,5,#DIV/0!,#DIV/0!,,10.26.2022,Caroline
H2_R2,H2,R2,MF,8,0,0,0,4,#DIV/0!,#DIV/0!,,10.26.2022,Caroline
H2_R3,H2,R3,MF,8,0,0,0,4,#DIV/0!,#DIV/0!,,10.26.2022,Caroline
D8179_R1,D8179,R1,C,8,6,0,6,4,0,1,4,10.26.2022,Caroline
D8179_R2,D8179,R2,C,8,0,0,0,3,#DIV/0!,#DIV/0!,,10.26.2022,Caroline
D8179_R3,D8179,R3,C,8,8,0,8,4,0,1,4,10.26.2022,Caroline
D8222_R1,D8222,R1,C,8,0,0,0,1,#DIV/0!,#DIV/0!,,10.26.2022,Caroline
D8222_R3,D8222,R3,C,8,0,0,0,1,#DIV/0!,#DIV/0!,,10.26.2022,Caroline
H1_R1,H1,R1,C,7,0,0,0,3,#DIV/0!,#DIV/0!,,10.26.2022,Caroline
H1_R2,H1,R2,C,7,0,0,0,5,#DIV/0!,#DIV/0!,,10.26.2022,Caroline
H1_R3,H1,R3,C,7,1,0,1,5,0,1,4,10.26.2022,Caroline
H2_R1,H2,R1,C,8,7,0,7,3,0,1,5,10.26.2022,Caroline
H2_R2,H2,R2,C,8,14,17,31,4,0.548387097,0.451612903,5,10.26.2022,Caroline
H2_R3,H2,R3,C,8,9,0,9,4,0,1,4,10.26.2022,Caroline
